[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080132_Crosbee_Mark_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
500,9894,0.009894,[0]
501,10134,0.010134,[1]
502,10073,0.010073,[0]
503,9608,0.009608,[1]
504,9676,0.009676,[0]
505,9947,0.009947,[1]
506,9917,0.009917,[0]
507,9849,0.009849,[1]
508,9932,0.009932,[0]
509,10239,0.010239,[1]
510,9984,0.009984,[0]
511,9704,0.009704,[1]
512,9634,0.009634,[0]
513,9635,0.009635,[1]
514,9424,0.009424,[0]
515,10459,0.010459,[1]
516,11263,0.011263,[0]
517,11728,0.011728,[1]
518,11262,0.011262,[0]
519,10707,0.010707,[1]
520,10406,0.010406,[0]
521,9928,0.009928,[1]
522,9677,0.009677,[0]
523,9676,0.009676,[1]
524,9670,0.00967,[0]
525,9673,0.009673,[1]
526,10369,0.010369,[0]
527,11069,0.011069,[1]
528,11102,0.011102,[0]
529,11110,0.01111,[1]
530,11471,0.011471,[0]
531,11482,0.011482,[1]
532,10871,0.010871,[0]
533,10397,0.010397,[1]
534,10349,0.010349,[0]
535,10545,0.010545,[1]
536,10694,0.010694,[0]
537,10811,0.010811,[1]
538,11276,0.011276,[0]
539,11755,0.011755,[1]
540,11277,0.011277,[0]
541,11717,0.011717,[1]
542,11486,0.011486,[0]
543,10958,0.010958,[1]
544,10571,0.010571,[0]
545,10990,0.01099,[1]
546,11338,0.011338,[0]
547,11491,0.011491,[1]
548,11678,0.011678,[0]
549,11499,0.011499,[1]
550,11326,0.011326,[0]
551,11099,0.011099,[1]
552,11133,0.011133,[0]
553,11136,0.011136,[1]
554,10985,0.010985,[0]
555,10817,0.010817,[1]
556,10924,0.010924,[0]
557,10686,0.010686,[1]
558,10539,0.010539,[0]
559,10436,0.010436,[1]
560,10371,0.010371,[0]
561,10177,0.010177,[1]
562,10027,0.010027,[0]
563,9584,0.009584,[1]
564,9461,0.009461,[0]
565,9688,0.009688,[1]
566,9266,0.009266,[0]
567,9346,0.009346,[1]
568,9372,0.009372,[0]
569,9293,0.009293,[1]
570,9595,0.009595,[0]
571,9386,0.009386,[1]
572,9232,0.009232,[0]
573,9148,0.009148,[1]
574,9052,0.009052,[0]
575,8893,0.008893,[1]
576,8778,0.008778,[0]
577,8839,0.008839,[1]
578,8918,0.008918,[0]
579,8941,0.008941,[1]
580,9074,0.009074,[0]
581,9164,0.009164,[1]
582,9034,0.009034,[0]
583,8696,0.008696,[1]
584,8556,0.008556,[0]
585,8784,0.008784,[1]
586,8557,0.008557,[0]
587,8286,0.008286,[1]
588,8072,0.008072,[0]
589,7998,0.007998,[1]
590,8142,0.008142,[0]
591,8157,0.008157,[1]
592,8092,0.008092,[0]
593,8169,0.008169,[1]
594,8418,0.008418,[0]
595,8333,0.008333,[1]
596,8368,0.008368,[0]
597,8396,0.008396,[1]
598,8231,0.008231,[0]
599,8250,0.00825,[1]
600,8114,0.008114,[0]
601,8273,0.008273,[1]
602,8563,0.008563,[0]
603,8476,0.008476,[1]
604,8656,0.008656,[0]
605,8596,0.008596,[1]
606,8576,0.008576,[0]
607,8497,0.008497,[1]
608,8599,0.008599,[0]
609,8883,0.008883,[1]
610,8867,0.008867,[0]
611,8736,0.008736,[1]
612,8929,0.008929,[0]
613,9112,0.009112,[1]
614,9281,0.009281,[0]
615,9176,0.009176,[1]
616,9545,0.009545,[0]
617,9715,0.009715,[1]
618,9617,0.009617,[0]
619,9597,0.009597,[1]
620,9443,0.009443,[0]
621,9182,0.009182,[1]
622,9226,0.009226,[0]
623,9413,0.009413,[1]
624,9607,0.009607,[0]
625,9496,0.009496,[1]
626,9743,0.009743,[0]
627,9919,0.009919,[1]
628,9838,0.009838,[0]
629,9874,0.009874,[1]
630,9932,0.009932,[0]
631,10068,0.010068,[1]
632,10084,0.010084,[0]
633,9882,0.009882,[1]
634,10016,0.010016,[0]
635,9969,0.009969,[1]
636,9993,0.009993,[0]
637,10078,0.010078,[1]
638,10501,0.010501,[0]
639,10716,0.010716,[1]
640,10997,0.010997,[0]
641,10615,0.010615,[1]
642,10615,0.010615,[0]
643,10556,0.010556,[1]
644,10256,0.010256,[0]
645,9999,0.009999,[1]
646,10322,0.010322,[0]
647,10363,0.010363,[1]
648,10793,0.010793,[0]
649,11119,0.011119,[1]
650,11761,0.011761,[0]
651,11715,0.011715,[1]
652,11250,0.01125,[0]
653,10675,0.010675,[1]
654,10417,0.010417,[0]
655,10206,0.010206,[1]
656,9796,0.009796,[0]
657,10140,0.01014,[1]
658,10463,0.010463,[0]
659,10930,0.01093,[1]
660,10965,0.010965,[0]
661,11697,0.011697,[1]
662,11890,0.01189,[0]
663,11323,0.011323,[1]
664,10985,0.010985,[0]
665,11025,0.011025,[1]
666,11429,0.011429,[0]
667,11022,0.011022,[1]
668,11060,0.01106,[0]
669,11044,0.011044,[1]
670,10759,0.010759,[0]
671,10679,0.010679,[1]
672,10779,0.010779,[0]
673,11120,0.01112,[1]
674,11030,0.01103,[0]
675,10855,0.010855,[1]
676,11034,0.011034,[0]
677,10847,0.010847,[1]
678,10926,0.010926,[0]
679,10651,0.010651,[1]
680,10656,0.010656,[0]
681,10952,0.010952,[1]
682,11172,0.011172,[0]
683,11024,0.011024,[1]
684,10998,0.010998,[0]
685,11014,0.011014,[1]
686,11006,0.011006,[0]
687,10940,0.01094,[1]
688,10804,0.010804,[0]
689,10612,0.010612,[1]
690,10321,0.010321,[0]
691,10161,0.010161,[1]
692,10034,0.010034,[0]
693,10082,0.010082,[1]
694,9945,0.009945,[0]
695,9668,0.009668,[1]
696,9555,0.009555,[0]
697,9555,0.009555,[1]
698,9429,0.009429,[0]
699,9521,0.009521,[1]
700,9702,0.009702,[0]
701,9485,0.009485,[1]
702,9220,0.00922,[0]
703,9073,0.009073,[1]
704,8974,0.008974,[0]
705,8743,0.008743,[1]
706,8856,0.008856,[0]
707,9148,0.009148,[1]
708,9251,0.009251,[0]
709,9304,0.009304,[1]
710,9214,0.009214,[0]
711,9325,0.009325,[1]
712,9281,0.009281,[0]
713,9096,0.009096,[1]
714,9232,0.009232,[0]
715,9345,0.009345,[1]
716,9284,0.009284,[0]
717,9701,0.009701,[1]
718,9868,0.009868,[0]
719,9884,0.009884,[1]
720,9958,0.009958,[0]
721,9804,0.009804,[1]
722,9515,0.009515,[0]
723,9675,0.009675,[1]
724,9776,0.009776,[0]
725,9638,0.009638,[1]
726,9874,0.009874,[0]
727,9962,0.009962,[1]
728,9848,0.009848,[0]
729,9719,0.009719,[1]
730,9857,0.009857,[0]
731,10050,0.01005,[1]
732,10189,0.010189,[0]
733,9986,0.009986,[1]
734,9910,0.00991,[0]
735,9957,0.009957,[1]
736,10254,0.010254,[0]
737,9969,0.009969,[1]
738,10113,0.010113,[0]
739,10504,0.010504,[1]
740,10585,0.010585,[0]
741,10615,0.010615,[1]
742,10613,0.010613,[0]
743,10651,0.010651,[1]
744,10651,0.010651,[0]
745,10490,0.01049,[1]
746,10824,0.010824,[0]
747,10912,0.010912,[1]
748,10709,0.010709,[0]
