[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_081221_Crosbee_Mark_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
564,7559,0.007559,[0]
565,7569,0.007569,[1]
566,7542,0.007542,[0]
567,7781,0.007781,[1]
568,7921,0.007921,[0]
569,8101,0.008101,[1]
570,8205,0.008205,[0]
571,8159,0.008159,[1]
572,8262,0.008262,[0]
573,8152,0.008152,[1]
574,8263,0.008263,[0]
575,8143,0.008143,[1]
576,8211,0.008211,[0]
577,8463,0.008463,[1]
578,8789,0.008789,[0]
579,8678,0.008678,[1]
580,8770,0.00877,[0]
581,8823,0.008823,[1]
582,8750,0.00875,[0]
583,8566,0.008566,[1]
584,8495,0.008495,[0]
585,8496,0.008496,[1]
586,8234,0.008234,[0]
587,8227,0.008227,[1]
588,8304,0.008304,[0]
589,8119,0.008119,[1]
590,8139,0.008139,[0]
591,8054,0.008054,[1]
592,8081,0.008081,[0]
593,8121,0.008121,[1]
594,7952,0.007952,[0]
595,7917,0.007917,[1]
596,7751,0.007751,[0]
597,7519,0.007519,[1]
598,7453,0.007453,[0]
599,7663,0.007663,[1]
600,7531,0.007531,[0]
601,7322,0.007322,[1]
602,7354,0.007354,[0]
603,7297,0.007297,[1]
604,7265,0.007265,[0]
605,7308,0.007308,[1]
606,7382,0.007382,[0]
607,7323,0.007323,[1]
608,7543,0.007543,[0]
609,7456,0.007456,[1]
610,7385,0.007385,[0]
611,7357,0.007357,[1]
612,7469,0.007469,[0]
613,7279,0.007279,[1]
614,7356,0.007356,[0]
615,7186,0.007186,[1]
616,6914,0.006914,[0]
617,6886,0.006886,[1]
618,7076,0.007076,[0]
619,7065,0.007065,[1]
620,6927,0.006927,[0]
621,7116,0.007116,[1]
622,7339,0.007339,[0]
623,7687,0.007687,[1]
624,7758,0.007758,[0]
625,8261,0.008261,[1]
626,8354,0.008354,[0]
627,8242,0.008242,[1]
628,7932,0.007932,[0]
629,7641,0.007641,[1]
630,7591,0.007591,[0]
631,7428,0.007428,[1]
632,7548,0.007548,[0]
633,7950,0.00795,[1]
634,8048,0.008048,[0]
635,8313,0.008313,[1]
636,8750,0.00875,[0]
637,9032,0.009032,[1]
638,9007,0.009007,[0]
639,9072,0.009072,[1]
640,9071,0.009071,[0]
641,8882,0.008882,[1]
642,8611,0.008611,[0]
643,8339,0.008339,[1]
644,8130,0.00813,[0]
645,7919,0.007919,[1]
646,7843,0.007843,[0]
647,7903,0.007903,[1]
648,8040,0.00804,[0]
649,7836,0.007836,[1]
650,7810,0.00781,[0]
651,8030,0.00803,[1]
652,8072,0.008072,[0]
653,8042,0.008042,[1]
654,8026,0.008026,[0]
655,7839,0.007839,[1]
656,7736,0.007736,[0]
657,7701,0.007701,[1]
658,7647,0.007647,[0]
659,7583,0.007583,[1]
660,7355,0.007355,[0]
661,7158,0.007158,[1]
662,7127,0.007127,[0]
663,7236,0.007236,[1]
664,7356,0.007356,[0]
665,7495,0.007495,[1]
666,7570,0.00757,[0]
667,7555,0.007555,[1]
668,7646,0.007646,[0]
669,7676,0.007676,[1]
670,7897,0.007897,[0]
671,7821,0.007821,[1]
672,7790,0.00779,[0]
673,7998,0.007998,[1]
674,7780,0.00778,[0]
675,7649,0.007649,[1]
676,7670,0.00767,[0]
677,7642,0.007642,[1]
678,7487,0.007487,[0]
679,7426,0.007426,[1]
680,7448,0.007448,[0]
681,7706,0.007706,[1]
682,7897,0.007897,[0]
683,8264,0.008264,[1]
684,8409,0.008409,[0]
685,8673,0.008673,[1]
686,8696,0.008696,[0]
687,8760,0.00876,[1]
688,8786,0.008786,[0]
689,8698,0.008698,[1]
690,8800,0.0088,[0]
691,8691,0.008691,[1]
692,8616,0.008616,[0]
693,8386,0.008386,[1]
694,8258,0.008258,[0]
695,8157,0.008157,[1]
696,8111,0.008111,[0]
697,8125,0.008125,[1]
698,8250,0.00825,[0]
699,8262,0.008262,[1]
700,8275,0.008275,[0]
701,8069,0.008069,[1]
702,8063,0.008063,[0]
703,8047,0.008047,[1]
704,8027,0.008027,[0]
705,7981,0.007981,[1]
706,7933,0.007933,[0]
707,7842,0.007842,[1]
708,7798,0.007798,[0]
709,7701,0.007701,[1]
710,7759,0.007759,[0]
711,7647,0.007647,[1]
712,7519,0.007519,[0]
713,7466,0.007466,[1]
714,7554,0.007554,[0]
715,7548,0.007548,[1]
716,7514,0.007514,[0]
717,7516,0.007516,[1]
718,7629,0.007629,[0]
719,7470,0.00747,[1]
720,7524,0.007524,[0]
721,7658,0.007658,[1]
722,7634,0.007634,[0]
723,7547,0.007547,[1]
724,7502,0.007502,[0]
725,7502,0.007502,[1]
726,7575,0.007575,[0]
727,7456,0.007456,[1]
728,7604,0.007604,[0]
729,7561,0.007561,[1]
730,7459,0.007459,[0]
731,7407,0.007407,[1]
732,7714,0.007714,[0]
733,7653,0.007653,[1]
734,7686,0.007686,[0]
735,7937,0.007937,[1]
736,8083,0.008083,[0]
737,8265,0.008265,[1]
738,8328,0.008328,[0]
739,8370,0.00837,[1]
740,8298,0.008298,[0]
741,8171,0.008171,[1]
742,8410,0.00841,[0]
743,8748,0.008748,[1]
744,8834,0.008834,[0]
745,8649,0.008649,[1]
746,8420,0.00842,[0]
747,8638,0.008638,[1]
748,8534,0.008534,[0]
749,8217,0.008217,[1]
750,7955,0.007955,[0]
751,7705,0.007705,[1]
752,7680,0.00768,[0]
753,7998,0.007998,[1]
754,8124,0.008124,[0]
755,8168,0.008168,[1]
756,8098,0.008098,[0]
757,7958,0.007958,[1]
758,7828,0.007828,[0]
759,7776,0.007776,[1]
760,7579,0.007579,[0]
761,7372,0.007372,[1]
762,7233,0.007233,[0]
763,7152,0.007152,[1]
764,7148,0.007148,[0]
765,7161,0.007161,[1]
766,7365,0.007365,[0]
767,7406,0.007406,[1]
768,7481,0.007481,[0]
769,7489,0.007489,[1]
770,7725,0.007725,[0]
771,7565,0.007565,[1]
772,7415,0.007415,[0]
773,7347,0.007347,[1]
774,7418,0.007418,[0]
775,7265,0.007265,[1]
776,7164,0.007164,[0]
777,7249,0.007249,[1]
778,7297,0.007297,[0]
779,7285,0.007285,[1]
780,7494,0.007494,[0]
781,7560,0.00756,[1]
782,7809,0.007809,[0]
783,7829,0.007829,[1]
784,7960,0.00796,[0]
785,8240,0.00824,[1]
786,8198,0.008198,[0]
787,8104,0.008104,[1]
788,8252,0.008252,[0]
789,8167,0.008167,[1]
790,8149,0.008149,[0]
791,7926,0.007926,[1]
792,8064,0.008064,[0]
793,8223,0.008223,[1]
794,8211,0.008211,[0]
795,8167,0.008167,[1]
796,8288,0.008288,[0]
797,8506,0.008506,[1]
798,8716,0.008716,[0]
799,8851,0.008851,[1]
800,9191,0.009191,[0]
801,9185,0.009185,[1]
802,8966,0.008966,[0]
803,8643,0.008643,[1]
804,8253,0.008253,[0]
805,7993,0.007993,[1]
806,7828,0.007828,[0]
807,7712,0.007712,[1]
808,7580,0.00758,[0]
809,7431,0.007431,[1]
810,7534,0.007534,[0]
811,7716,0.007716,[1]
812,7960,0.00796,[0]
813,7902,0.007902,[1]
814,8140,0.00814,[0]
815,8127,0.008127,[1]
816,8067,0.008067,[0]
817,8239,0.008239,[1]
818,7986,0.007986,[0]
819,7746,0.007746,[1]
820,7772,0.007772,[0]
821,7541,0.007541,[1]
822,7381,0.007381,[0]
823,7428,0.007428,[1]
824,7357,0.007357,[0]
825,7257,0.007257,[1]
826,7087,0.007087,[0]
827,7404,0.007404,[1]
828,7729,0.007729,[0]
829,7573,0.007573,[1]
830,7676,0.007676,[0]
