[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080849_Crosbee_Mark_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
588,9017,0.009017,[0]
589,8987,0.008987,[1]
590,8839,0.008839,[0]
591,8833,0.008833,[1]
592,8845,0.008845,[0]
593,8756,0.008756,[1]
594,8671,0.008671,[0]
595,8528,0.008528,[1]
596,8324,0.008324,[0]
597,8358,0.008358,[1]
598,8327,0.008327,[0]
599,8568,0.008568,[1]
600,8504,0.008504,[0]
601,8439,0.008439,[1]
602,8374,0.008374,[0]
603,8606,0.008606,[1]
604,8729,0.008729,[0]
605,8610,0.00861,[1]
606,8716,0.008716,[0]
607,9019,0.009019,[1]
608,9064,0.009064,[0]
609,9019,0.009019,[1]
610,9034,0.009034,[0]
611,8990,0.00899,[1]
612,8911,0.008911,[0]
613,8932,0.008932,[1]
614,9366,0.009366,[0]
615,9103,0.009103,[1]
616,9105,0.009105,[0]
617,9270,0.00927,[1]
618,9402,0.009402,[0]
619,9251,0.009251,[1]
620,9238,0.009238,[0]
621,9431,0.009431,[1]
622,9830,0.00983,[0]
623,9678,0.009678,[1]
624,9585,0.009585,[0]
625,9817,0.009817,[1]
626,9820,0.00982,[0]
627,9597,0.009597,[1]
628,9926,0.009926,[0]
629,10254,0.010254,[1]
630,10384,0.010384,[0]
631,10316,0.010316,[1]
632,10114,0.010114,[0]
633,10305,0.010305,[1]
634,10179,0.010179,[0]
635,9949,0.009949,[1]
636,10093,0.010093,[0]
637,10372,0.010372,[1]
638,10543,0.010543,[0]
639,11055,0.011055,[1]
640,11150,0.01115,[0]
641,10876,0.010876,[1]
642,10426,0.010426,[0]
643,10364,0.010364,[1]
644,10894,0.010894,[0]
645,11322,0.011322,[1]
646,10892,0.010892,[0]
647,10900,0.0109,[1]
648,11037,0.011037,[0]
649,10659,0.010659,[1]
650,10229,0.010229,[0]
651,9806,0.009806,[1]
652,9646,0.009646,[0]
653,9468,0.009468,[1]
654,9715,0.009715,[0]
655,9871,0.009871,[1]
656,9992,0.009992,[0]
657,9996,0.009996,[1]
658,9825,0.009825,[0]
659,9712,0.009712,[1]
660,9423,0.009423,[0]
661,9105,0.009105,[1]
662,9263,0.009263,[0]
663,9193,0.009193,[1]
664,9271,0.009271,[0]
665,9215,0.009215,[1]
666,9048,0.009048,[0]
667,8895,0.008895,[1]
668,8853,0.008853,[0]
669,9096,0.009096,[1]
670,9497,0.009497,[0]
671,9362,0.009362,[1]
672,9314,0.009314,[0]
673,9202,0.009202,[1]
674,8995,0.008995,[0]
675,8592,0.008592,[1]
676,8342,0.008342,[0]
677,8414,0.008414,[1]
678,8578,0.008578,[0]
679,8402,0.008402,[1]
680,8398,0.008398,[0]
681,8575,0.008575,[1]
682,8693,0.008693,[0]
683,8717,0.008717,[1]
684,8596,0.008596,[0]
685,8575,0.008575,[1]
686,8476,0.008476,[0]
687,8352,0.008352,[1]
688,8613,0.008613,[0]
689,8507,0.008507,[1]
690,8348,0.008348,[0]
691,8135,0.008135,[1]
692,8552,0.008552,[0]
693,9012,0.009012,[1]
694,9365,0.009365,[0]
695,9315,0.009315,[1]
696,9160,0.00916,[0]
697,8933,0.008933,[1]
698,8799,0.008799,[0]
699,8632,0.008632,[1]
700,8731,0.008731,[0]
701,8575,0.008575,[1]
702,8695,0.008695,[0]
703,8863,0.008863,[1]
704,8863,0.008863,[0]
705,8807,0.008807,[1]
706,8928,0.008928,[0]
707,9235,0.009235,[1]
708,9538,0.009538,[0]
709,9757,0.009757,[1]
710,9374,0.009374,[0]
711,9724,0.009724,[1]
712,9674,0.009674,[0]
713,9535,0.009535,[1]
714,9455,0.009455,[0]
715,9472,0.009472,[1]
716,9554,0.009554,[0]
717,9545,0.009545,[1]
718,10118,0.010118,[0]
719,10655,0.010655,[1]
720,10413,0.010413,[0]
721,10238,0.010238,[1]
722,10185,0.010185,[0]
723,9973,0.009973,[1]
724,9960,0.00996,[0]
725,9854,0.009854,[1]
726,10066,0.010066,[0]
727,10454,0.010454,[1]
728,10551,0.010551,[0]
729,10582,0.010582,[1]
730,10615,0.010615,[0]
731,10461,0.010461,[1]
732,10298,0.010298,[0]
733,10429,0.010429,[1]
734,10724,0.010724,[0]
735,10950,0.01095,[1]
736,11308,0.011308,[0]
737,11204,0.011204,[1]
738,10850,0.01085,[0]
739,10424,0.010424,[1]
740,10043,0.010043,[0]
741,10062,0.010062,[1]
742,10288,0.010288,[0]
743,10234,0.010234,[1]
744,10071,0.010071,[0]
745,10263,0.010263,[1]
746,10334,0.010334,[0]
747,10133,0.010133,[1]
748,9993,0.009993,[0]
749,10272,0.010272,[1]
750,10381,0.010381,[0]
751,10247,0.010247,[1]
752,10112,0.010112,[0]
753,10466,0.010466,[1]
754,10617,0.010617,[0]
755,10293,0.010293,[1]
756,10132,0.010132,[0]
757,10291,0.010291,[1]
758,10134,0.010134,[0]
759,10411,0.010411,[1]
760,10722,0.010722,[0]
761,10343,0.010343,[1]
762,9997,0.009997,[0]
763,9951,0.009951,[1]
764,9599,0.009599,[0]
765,9218,0.009218,[1]
766,9009,0.009009,[0]
767,9044,0.009044,[1]
768,9141,0.009141,[0]
769,9406,0.009406,[1]
770,9345,0.009345,[0]
771,9355,0.009355,[1]
772,9187,0.009187,[0]
773,9126,0.009126,[1]
774,9082,0.009082,[0]
775,8919,0.008919,[1]
776,8693,0.008693,[0]
777,8688,0.008688,[1]
778,8766,0.008766,[0]
779,8864,0.008864,[1]
780,8774,0.008774,[0]
781,8865,0.008865,[1]
782,8783,0.008783,[0]
783,8937,0.008937,[1]
784,9148,0.009148,[0]
785,9277,0.009277,[1]
786,9514,0.009514,[0]
787,9219,0.009219,[1]
788,9342,0.009342,[0]
789,9244,0.009244,[1]
790,9083,0.009083,[0]
791,8888,0.008888,[1]
792,9092,0.009092,[0]
793,9367,0.009367,[1]
794,9104,0.009104,[0]
795,9288,0.009288,[1]
796,9521,0.009521,[0]
797,9851,0.009851,[1]
798,9969,0.009969,[0]
799,10197,0.010197,[1]
800,10195,0.010195,[0]
801,10117,0.010117,[1]
802,10139,0.010139,[0]
803,9857,0.009857,[1]
804,10098,0.010098,[0]
805,9889,0.009889,[1]
806,9960,0.00996,[0]
807,10251,0.010251,[1]
808,10317,0.010317,[0]
809,10040,0.01004,[1]
810,10145,0.010145,[0]
811,10329,0.010329,[1]
812,10270,0.01027,[0]
813,10481,0.010481,[1]
814,10733,0.010733,[0]
815,10991,0.010991,[1]
816,10576,0.010576,[0]
817,10685,0.010685,[1]
818,10495,0.010495,[0]
819,10424,0.010424,[1]
820,10242,0.010242,[0]
821,10405,0.010405,[1]
822,10644,0.010644,[0]
823,10431,0.010431,[1]
824,10579,0.010579,[0]
825,10778,0.010778,[1]
826,10997,0.010997,[0]
827,10995,0.010995,[1]
828,12305,0.012305,[0]
829,12557,0.012557,[1]
830,12408,0.012408,[0]
