[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_084830_Pope_Ben_80SR-TC
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
469,10073,0.010073,[1]
470,10138,0.010138,[0]
471,10396,0.010396,[1]
472,10191,0.010191,[0]
473,10128,0.010128,[1]
474,10092,0.010092,[0]
475,9955,0.009955,[1]
476,9970,0.00997,[0]
477,9927,0.009927,[1]
478,10123,0.010123,[0]
479,9658,0.009658,[1]
480,10029,0.010029,[0]
481,9855,0.009855,[1]
482,9573,0.009573,[0]
483,9651,0.009651,[1]
484,9939,0.009939,[0]
485,9655,0.009655,[1]
486,9656,0.009656,[0]
487,9791,0.009791,[1]
488,9616,0.009616,[0]
489,9507,0.009507,[1]
490,9622,0.009622,[0]
491,9485,0.009485,[1]
492,9239,0.009239,[0]
493,9147,0.009147,[1]
494,9136,0.009136,[0]
495,8850,0.00885,[1]
496,8607,0.008607,[0]
497,8603,0.008603,[1]
498,8397,0.008397,[0]
499,8218,0.008218,[1]
500,8428,0.008428,[0]
501,8487,0.008487,[1]
502,8224,0.008224,[0]
503,8475,0.008475,[1]
504,8539,0.008539,[0]
505,8329,0.008329,[1]
506,8348,0.008348,[0]
507,8656,0.008656,[1]
508,8504,0.008504,[0]
509,8555,0.008555,[1]
510,8753,0.008753,[0]
511,8694,0.008694,[1]
512,8400,0.0084,[0]
513,8521,0.008521,[1]
514,8540,0.00854,[0]
515,8380,0.00838,[1]
516,8741,0.008741,[0]
517,8876,0.008876,[1]
518,8844,0.008844,[0]
519,8945,0.008945,[1]
520,9036,0.009036,[0]
521,9036,0.009036,[1]
522,8952,0.008952,[0]
523,9152,0.009152,[1]
524,9235,0.009235,[0]
525,9490,0.00949,[1]
526,9655,0.009655,[0]
527,9832,0.009832,[1]
528,9614,0.009614,[0]
529,9531,0.009531,[1]
530,9483,0.009483,[0]
531,9580,0.00958,[1]
532,9751,0.009751,[0]
533,9432,0.009432,[1]
534,9457,0.009457,[0]
535,9610,0.00961,[1]
536,9619,0.009619,[0]
537,9407,0.009407,[1]
538,9453,0.009453,[0]
539,9370,0.00937,[1]
540,9545,0.009545,[0]
541,9576,0.009576,[1]
542,9676,0.009676,[0]
543,10000,0.01,[1]
544,9754,0.009754,[0]
545,10102,0.010102,[1]
546,10255,0.010255,[0]
547,9865,0.009865,[1]
548,9881,0.009881,[0]
549,10206,0.010206,[1]
550,10410,0.01041,[0]
551,10384,0.010384,[1]
552,10176,0.010176,[0]
553,9856,0.009856,[1]
554,9698,0.009698,[0]
555,10091,0.010091,[1]
556,10106,0.010106,[0]
557,9925,0.009925,[1]
558,9908,0.009908,[0]
559,9911,0.009911,[1]
560,9874,0.009874,[0]
561,10152,0.010152,[1]
562,10686,0.010686,[0]
563,10722,0.010722,[1]
564,10331,0.010331,[0]
565,10079,0.010079,[1]
566,10016,0.010016,[0]
567,10416,0.010416,[1]
568,10386,0.010386,[0]
569,10308,0.010308,[1]
570,10279,0.010279,[0]
571,10166,0.010166,[1]
572,9928,0.009928,[0]
573,9667,0.009667,[1]
574,9758,0.009758,[0]
575,9680,0.00968,[1]
576,9660,0.00966,[0]
577,9526,0.009526,[1]
578,9304,0.009304,[0]
579,9161,0.009161,[1]
580,9132,0.009132,[0]
581,9176,0.009176,[1]
582,9036,0.009036,[0]
583,9010,0.00901,[1]
584,9148,0.009148,[0]
585,9177,0.009177,[1]
586,9414,0.009414,[0]
587,9279,0.009279,[1]
588,9285,0.009285,[0]
589,9353,0.009353,[1]
590,9464,0.009464,[0]
591,9340,0.00934,[1]
592,9214,0.009214,[0]
593,9046,0.009046,[1]
594,8987,0.008987,[0]
595,8963,0.008963,[1]
596,8842,0.008842,[0]
597,8809,0.008809,[1]
598,8743,0.008743,[0]
599,8839,0.008839,[1]
600,8835,0.008835,[0]
601,8928,0.008928,[1]
602,9134,0.009134,[0]
603,9259,0.009259,[1]
604,9353,0.009353,[0]
605,9290,0.00929,[1]
606,9495,0.009495,[0]
607,9650,0.00965,[1]
608,9665,0.009665,[0]
609,9869,0.009869,[1]
610,9890,0.00989,[0]
611,9788,0.009788,[1]
612,9966,0.009966,[0]
613,9856,0.009856,[1]
614,9690,0.00969,[0]
615,9965,0.009965,[1]
616,10022,0.010022,[0]
617,9776,0.009776,[1]
618,9756,0.009756,[0]
619,9845,0.009845,[1]
620,9854,0.009854,[0]
621,10002,0.010002,[1]
622,10575,0.010575,[0]
623,10442,0.010442,[1]
624,10094,0.010094,[0]
625,9881,0.009881,[1]
626,9721,0.009721,[0]
627,9556,0.009556,[1]
628,9406,0.009406,[0]
629,9397,0.009397,[1]
630,9427,0.009427,[0]
631,9662,0.009662,[1]
632,9932,0.009932,[0]
633,10032,0.010032,[1]
634,10069,0.010069,[0]
635,10311,0.010311,[1]
636,10187,0.010187,[0]
637,9950,0.00995,[1]
638,9906,0.009906,[0]
639,9907,0.009907,[1]
640,9739,0.009739,[0]
641,9641,0.009641,[1]
642,9737,0.009737,[0]
643,9786,0.009786,[1]
644,9651,0.009651,[0]
645,10061,0.010061,[1]
646,10188,0.010188,[0]
647,10058,0.010058,[1]
648,10092,0.010092,[0]
649,10072,0.010072,[1]
650,10001,0.010001,[0]
651,9971,0.009971,[1]
652,9836,0.009836,[0]
653,9640,0.00964,[1]
654,9485,0.009485,[0]
655,9378,0.009378,[1]
656,9193,0.009193,[0]
