[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_081829_Pope_Ben_100SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
755,8600,0.0086,[1]
756,8765,0.008765,[0]
757,8802,0.008802,[1]
758,9120,0.00912,[0]
759,9147,0.009147,[1]
760,9278,0.009278,[0]
761,9411,0.009411,[1]
762,9409,0.009409,[0]
763,9619,0.009619,[1]
764,9692,0.009692,[0]
765,9437,0.009437,[1]
766,9587,0.009587,[0]
767,9671,0.009671,[1]
768,9566,0.009566,[0]
769,9542,0.009542,[1]
770,9539,0.009539,[0]
771,9612,0.009612,[1]
772,9464,0.009464,[0]
773,9702,0.009702,[1]
774,9839,0.009839,[0]
775,9607,0.009607,[1]
776,9370,0.00937,[0]
777,9254,0.009254,[1]
778,8873,0.008873,[0]
779,8623,0.008623,[1]
780,8773,0.008773,[0]
781,8636,0.008636,[1]
782,8958,0.008958,[0]
783,9070,0.00907,[1]
784,9001,0.009001,[0]
785,8776,0.008776,[1]
786,8674,0.008674,[0]
787,8635,0.008635,[1]
788,8399,0.008399,[0]
789,8410,0.00841,[1]
790,8637,0.008637,[0]
791,8456,0.008456,[1]
792,8375,0.008375,[0]
793,8457,0.008457,[1]
794,8505,0.008505,[0]
795,8546,0.008546,[1]
796,8490,0.00849,[0]
797,8475,0.008475,[1]
798,8332,0.008332,[0]
799,8347,0.008347,[1]
800,8239,0.008239,[0]
801,8024,0.008024,[1]
802,7987,0.007987,[0]
803,8104,0.008104,[1]
804,7955,0.007955,[0]
805,7797,0.007797,[1]
806,7717,0.007717,[0]
807,7735,0.007735,[1]
808,7630,0.00763,[0]
809,7748,0.007748,[1]
810,7751,0.007751,[0]
811,7626,0.007626,[1]
812,7856,0.007856,[0]
813,7827,0.007827,[1]
814,7665,0.007665,[0]
815,7564,0.007564,[1]
816,7999,0.007999,[0]
817,8128,0.008128,[1]
818,8537,0.008537,[0]
819,8726,0.008726,[1]
820,8706,0.008706,[0]
821,8923,0.008923,[1]
822,9274,0.009274,[0]
823,9262,0.009262,[1]
824,9579,0.009579,[0]
825,9499,0.009499,[1]
826,9477,0.009477,[0]
827,9376,0.009376,[1]
828,9289,0.009289,[0]
829,9400,0.0094,[1]
830,9164,0.009164,[0]
831,9169,0.009169,[1]
832,9082,0.009082,[0]
