[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082028_Curtin_Dom_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
641,11415,0.011415,[1]
642,11292,0.011292,[0]
643,11036,0.011036,[1]
644,11108,0.011108,[0]
645,11447,0.011447,[1]
646,11654,0.011654,[0]
647,11501,0.011501,[1]
648,11754,0.011754,[0]
649,11637,0.011637,[1]
650,11472,0.011472,[0]
651,11370,0.01137,[1]
652,11426,0.011426,[0]
653,11511,0.011511,[1]
654,11030,0.01103,[0]
655,10993,0.010993,[1]
656,10935,0.010935,[0]
657,10725,0.010725,[1]
658,10472,0.010472,[0]
659,10482,0.010482,[1]
660,10056,0.010056,[0]
661,9916,0.009916,[1]
662,9655,0.009655,[0]
663,9668,0.009668,[1]
664,9388,0.009388,[0]
665,9358,0.009358,[1]
666,9679,0.009679,[0]
667,9597,0.009597,[1]
668,9623,0.009623,[0]
669,9356,0.009356,[1]
670,9345,0.009345,[0]
671,8980,0.00898,[1]
672,8902,0.008902,[0]
673,8937,0.008937,[1]
674,8657,0.008657,[0]
675,8678,0.008678,[1]
676,8868,0.008868,[0]
677,8938,0.008938,[1]
678,8841,0.008841,[0]
679,8550,0.00855,[1]
680,8336,0.008336,[0]
681,8266,0.008266,[1]
682,8258,0.008258,[0]
683,8560,0.00856,[1]
684,8462,0.008462,[0]
685,8369,0.008369,[1]
686,8675,0.008675,[0]
687,8694,0.008694,[1]
688,8890,0.00889,[0]
689,8975,0.008975,[1]
690,8775,0.008775,[0]
691,8608,0.008608,[1]
692,8862,0.008862,[0]
693,8947,0.008947,[1]
694,8905,0.008905,[0]
695,8785,0.008785,[1]
696,8927,0.008927,[0]
697,9001,0.009001,[1]
698,8903,0.008903,[0]
699,9314,0.009314,[1]
700,9592,0.009592,[0]
701,9989,0.009989,[1]
702,10196,0.010196,[0]
703,10228,0.010228,[1]
704,9976,0.009976,[0]
705,9761,0.009761,[1]
706,9465,0.009465,[0]
707,9612,0.009612,[1]
708,9636,0.009636,[0]
709,10012,0.010012,[1]
710,10011,0.010011,[0]
711,10293,0.010293,[1]
712,10363,0.010363,[0]
713,10794,0.010794,[1]
714,10518,0.010518,[0]
715,10529,0.010529,[1]
716,10723,0.010723,[0]
717,10635,0.010635,[1]
718,10649,0.010649,[0]
719,10735,0.010735,[1]
720,10841,0.010841,[0]
721,10903,0.010903,[1]
722,10835,0.010835,[0]
723,11163,0.011163,[1]
724,11221,0.011221,[0]
725,10927,0.010927,[1]
726,10935,0.010935,[0]
727,11094,0.011094,[1]
728,11124,0.011124,[0]
729,10946,0.010946,[1]
730,10856,0.010856,[0]
731,10582,0.010582,[1]
732,10986,0.010986,[0]
733,10636,0.010636,[1]
734,10748,0.010748,[0]
735,10384,0.010384,[1]
736,9972,0.009972,[0]
737,9860,0.00986,[1]
738,9867,0.009867,[0]
739,9638,0.009638,[1]
740,9313,0.009313,[0]
741,9374,0.009374,[1]
742,9287,0.009287,[0]
743,8951,0.008951,[1]
744,9182,0.009182,[0]
745,8988,0.008988,[1]
746,8998,0.008998,[0]
747,8704,0.008704,[1]
748,8732,0.008732,[0]
749,8879,0.008879,[1]
750,8653,0.008653,[0]
751,8486,0.008486,[1]
752,8521,0.008521,[0]
753,8588,0.008588,[1]
754,8677,0.008677,[0]
755,8914,0.008914,[1]
756,9541,0.009541,[0]
757,9769,0.009769,[1]
758,9569,0.009569,[0]
759,9000,0.009,[1]
760,8545,0.008545,[0]
761,8219,0.008219,[1]
762,7920,0.00792,[0]
763,7725,0.007725,[1]
764,7722,0.007722,[0]
765,7937,0.007937,[1]
766,8057,0.008057,[0]
767,8631,0.008631,[1]
768,9031,0.009031,[0]
769,9041,0.009041,[1]
770,8955,0.008955,[0]
771,9204,0.009204,[1]
772,9109,0.009109,[0]
773,8858,0.008858,[1]
774,8791,0.008791,[0]
775,8874,0.008874,[1]
776,9068,0.009068,[0]
777,9017,0.009017,[1]
778,8963,0.008963,[0]
779,9536,0.009536,[1]
780,9634,0.009634,[0]
781,9722,0.009722,[1]
