[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082704_Curtin_Dom_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
443,7305,0.007305,[1]
444,7290,0.00729,[0]
445,7293,0.007293,[1]
446,7469,0.007469,[0]
447,7512,0.007512,[1]
448,7600,0.0076,[0]
449,7546,0.007546,[1]
450,7486,0.007486,[0]
451,7489,0.007489,[1]
452,7535,0.007535,[0]
453,7447,0.007447,[1]
454,7437,0.007437,[0]
455,7556,0.007556,[1]
456,7659,0.007659,[0]
457,7686,0.007686,[1]
458,8060,0.00806,[0]
459,8480,0.00848,[1]
460,8579,0.008579,[0]
461,8398,0.008398,[1]
462,8576,0.008576,[0]
463,8671,0.008671,[1]
464,8828,0.008828,[0]
465,8724,0.008724,[1]
466,8885,0.008885,[0]
467,9221,0.009221,[1]
468,9257,0.009257,[0]
469,9064,0.009064,[1]
470,9025,0.009025,[0]
471,8997,0.008997,[1]
472,8874,0.008874,[0]
473,8802,0.008802,[1]
474,8952,0.008952,[0]
475,8817,0.008817,[1]
476,8556,0.008556,[0]
477,8375,0.008375,[1]
478,8461,0.008461,[0]
479,8253,0.008253,[1]
480,8017,0.008017,[0]
481,7842,0.007842,[1]
482,8063,0.008063,[0]
483,8115,0.008115,[1]
484,7877,0.007877,[0]
485,7704,0.007704,[1]
486,7512,0.007512,[0]
487,7355,0.007355,[1]
488,7264,0.007264,[0]
489,7248,0.007248,[1]
490,7311,0.007311,[0]
491,7183,0.007183,[1]
492,7347,0.007347,[0]
493,7453,0.007453,[1]
494,7452,0.007452,[0]
495,7326,0.007326,[1]
496,7359,0.007359,[0]
497,7473,0.007473,[1]
498,7428,0.007428,[0]
499,7445,0.007445,[1]
500,7420,0.00742,[0]
501,7339,0.007339,[1]
502,7189,0.007189,[0]
503,7405,0.007405,[1]
504,7561,0.007561,[0]
505,7589,0.007589,[1]
506,7603,0.007603,[0]
507,8107,0.008107,[1]
508,8245,0.008245,[0]
509,8262,0.008262,[1]
510,8123,0.008123,[0]
511,8139,0.008139,[1]
512,8353,0.008353,[0]
513,9119,0.009119,[1]
514,9782,0.009782,[0]
515,9980,0.00998,[1]
516,9594,0.009594,[0]
517,9038,0.009038,[1]
518,8786,0.008786,[0]
519,8504,0.008504,[1]
520,8263,0.008263,[0]
521,8120,0.00812,[1]
522,8384,0.008384,[0]
523,9001,0.009001,[1]
524,9227,0.009227,[0]
525,9007,0.009007,[1]
526,8785,0.008785,[0]
527,8444,0.008444,[1]
528,8054,0.008054,[0]
529,7698,0.007698,[1]
530,7462,0.007462,[0]
531,7642,0.007642,[1]
532,7467,0.007467,[0]
533,7524,0.007524,[1]
534,7710,0.00771,[0]
535,7781,0.007781,[1]
536,7521,0.007521,[0]
537,7630,0.00763,[1]
538,7528,0.007528,[0]
539,7505,0.007505,[1]
540,7253,0.007253,[0]
541,7121,0.007121,[1]
542,7197,0.007197,[0]
543,7378,0.007378,[1]
544,7195,0.007195,[0]
545,7136,0.007136,[1]
546,7077,0.007077,[0]
547,7078,0.007078,[1]
548,7140,0.00714,[0]
549,7222,0.007222,[1]
550,7141,0.007141,[0]
551,7007,0.007007,[1]
552,7048,0.007048,[0]
553,7255,0.007255,[1]
554,7248,0.007248,[0]
555,7374,0.007374,[1]
556,7439,0.007439,[0]
557,7586,0.007586,[1]
558,7448,0.007448,[0]
559,7354,0.007354,[1]
560,7543,0.007543,[0]
561,7790,0.00779,[1]
562,8035,0.008035,[0]
563,7934,0.007934,[1]
564,8040,0.00804,[0]
565,7974,0.007974,[1]
566,7804,0.007804,[0]
567,7891,0.007891,[1]
568,8252,0.008252,[0]
569,8575,0.008575,[1]
570,8831,0.008831,[0]
571,9051,0.009051,[1]
572,9317,0.009317,[0]
573,9426,0.009426,[1]
574,9224,0.009224,[0]
575,9064,0.009064,[1]
576,8754,0.008754,[0]
577,8866,0.008866,[1]
578,8807,0.008807,[0]
579,8626,0.008626,[1]
580,8802,0.008802,[0]
581,8993,0.008993,[1]
582,8914,0.008914,[0]
583,8771,0.008771,[1]
584,8691,0.008691,[0]
585,8512,0.008512,[1]
586,8355,0.008355,[0]
587,8300,0.0083,[1]
588,8082,0.008082,[0]
589,7963,0.007963,[1]
590,7803,0.007803,[0]
591,7685,0.007685,[1]
592,7837,0.007837,[0]
593,7768,0.007768,[1]
594,7867,0.007867,[0]
595,7963,0.007963,[1]
596,7830,0.00783,[0]
597,7826,0.007826,[1]
598,7775,0.007775,[0]
599,7826,0.007826,[1]
600,7630,0.00763,[0]
601,7610,0.00761,[1]
602,7492,0.007492,[0]
603,7717,0.007717,[1]
604,7730,0.00773,[0]
605,7664,0.007664,[1]
606,7529,0.007529,[0]
607,7719,0.007719,[1]
608,7887,0.007887,[0]
609,7853,0.007853,[1]
610,7953,0.007953,[0]
611,8045,0.008045,[1]
612,8037,0.008037,[0]
613,7937,0.007937,[1]
614,8028,0.008028,[0]
615,8075,0.008075,[1]
616,8068,0.008068,[0]
617,8127,0.008127,[1]
618,8463,0.008463,[0]
619,8772,0.008772,[1]
620,8878,0.008878,[0]
621,8897,0.008897,[1]
622,9102,0.009102,[0]
623,9331,0.009331,[1]
624,9271,0.009271,[0]
625,9183,0.009183,[1]
626,9018,0.009018,[0]
627,9161,0.009161,[1]
628,8976,0.008976,[0]
629,8876,0.008876,[1]
630,9049,0.009049,[0]
631,8654,0.008654,[1]
632,8436,0.008436,[0]
633,8707,0.008707,[1]
634,8529,0.008529,[0]
635,8450,0.00845,[1]
636,8217,0.008217,[0]
637,8261,0.008261,[1]
638,8189,0.008189,[0]
639,7955,0.007955,[1]
640,7762,0.007762,[0]
641,8037,0.008037,[1]
642,8195,0.008195,[0]
643,7984,0.007984,[1]
644,8226,0.008226,[0]
645,8164,0.008164,[1]
646,7928,0.007928,[0]
647,8433,0.008433,[1]
648,8606,0.008606,[0]
649,8233,0.008233,[1]
650,7832,0.007832,[0]
651,7503,0.007503,[1]
652,7271,0.007271,[0]
653,7052,0.007052,[1]
654,6862,0.006862,[0]
655,6695,0.006695,[1]
656,6787,0.006787,[0]
657,7027,0.007027,[1]
658,7498,0.007498,[0]
659,7935,0.007935,[1]
660,7785,0.007785,[0]
661,7865,0.007865,[1]
662,8021,0.008021,[0]
663,7876,0.007876,[1]
664,7654,0.007654,[0]
665,7844,0.007844,[1]
666,7639,0.007639,[0]
667,7767,0.007767,[1]
668,7944,0.007944,[0]
669,8266,0.008266,[1]
670,8411,0.008411,[0]
671,8602,0.008602,[1]
672,8819,0.008819,[0]
673,9037,0.009037,[1]
674,8938,0.008938,[0]
675,8901,0.008901,[1]
676,8996,0.008996,[0]
677,9065,0.009065,[1]
678,8936,0.008936,[0]
679,9035,0.009035,[1]
680,9079,0.009079,[0]
681,9136,0.009136,[1]
682,8943,0.008943,[0]
683,9141,0.009141,[1]
684,9135,0.009135,[0]
685,9065,0.009065,[1]
686,8942,0.008942,[0]
687,8982,0.008982,[1]
688,8822,0.008822,[0]
689,8571,0.008571,[1]
690,8372,0.008372,[0]
691,8298,0.008298,[1]
692,8267,0.008267,[0]
693,8226,0.008226,[1]
694,8143,0.008143,[0]
695,8048,0.008048,[1]
696,7856,0.007856,[0]
697,7827,0.007827,[1]
698,7950,0.00795,[0]
699,8031,0.008031,[1]
700,7997,0.007997,[0]
701,7950,0.00795,[1]
702,8040,0.00804,[0]
703,7965,0.007965,[1]
704,8023,0.008023,[0]
705,7820,0.00782,[1]
706,7636,0.007636,[0]
707,7517,0.007517,[1]
708,7481,0.007481,[0]
709,7713,0.007713,[1]
710,7730,0.00773,[0]
711,7740,0.00774,[1]
712,8209,0.008209,[0]
713,8416,0.008416,[1]
714,8472,0.008472,[0]
715,8771,0.008771,[1]
716,8562,0.008562,[0]
717,8525,0.008525,[1]
718,8484,0.008484,[0]
719,8368,0.008368,[1]
720,8326,0.008326,[0]
721,8465,0.008465,[1]
722,8589,0.008589,[0]
723,8756,0.008756,[1]
724,9140,0.00914,[0]
725,9238,0.009238,[1]
726,9222,0.009222,[0]
727,9330,0.00933,[1]
728,9645,0.009645,[0]
729,9541,0.009541,[1]
730,9305,0.009305,[0]
731,9318,0.009318,[1]
732,9569,0.009569,[0]
733,9521,0.009521,[1]
734,9242,0.009242,[0]
735,9083,0.009083,[1]
736,8911,0.008911,[0]
737,8704,0.008704,[1]
738,8590,0.00859,[0]
739,8366,0.008366,[1]
740,8108,0.008108,[0]
741,7885,0.007885,[1]
742,7747,0.007747,[0]
743,7730,0.00773,[1]
744,7713,0.007713,[0]
745,7690,0.00769,[1]
746,7782,0.007782,[0]
747,7683,0.007683,[1]
748,7550,0.00755,[0]
749,7373,0.007373,[1]
750,7227,0.007227,[0]
751,7205,0.007205,[1]
752,7152,0.007152,[0]
753,7231,0.007231,[1]
754,7226,0.007226,[0]
755,7193,0.007193,[1]
756,7068,0.007068,[0]
757,7061,0.007061,[1]
758,7359,0.007359,[0]
759,7330,0.00733,[1]
760,7533,0.007533,[0]
761,7751,0.007751,[1]
762,7763,0.007763,[0]
763,8095,0.008095,[1]
764,8121,0.008121,[0]
765,7984,0.007984,[1]
