[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090932_Curtin_Dom_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
469,8433,0.008433,[1]
470,8736,0.008736,[0]
471,8965,0.008965,[1]
472,9177,0.009177,[0]
473,9051,0.009051,[1]
474,8820,0.00882,[0]
475,9152,0.009152,[1]
476,9136,0.009136,[0]
477,9052,0.009052,[1]
478,8895,0.008895,[0]
479,9101,0.009101,[1]
480,9373,0.009373,[0]
481,9803,0.009803,[1]
482,9787,0.009787,[0]
483,9948,0.009948,[1]
484,10292,0.010292,[0]
485,10244,0.010244,[1]
486,10124,0.010124,[0]
487,9859,0.009859,[1]
488,9568,0.009568,[0]
489,9504,0.009504,[1]
490,10054,0.010054,[0]
491,10467,0.010467,[1]
492,10483,0.010483,[0]
493,10174,0.010174,[1]
494,9730,0.00973,[0]
495,9498,0.009498,[1]
496,9329,0.009329,[0]
497,9268,0.009268,[1]
498,9402,0.009402,[0]
499,9104,0.009104,[1]
500,9170,0.00917,[0]
501,9087,0.009087,[1]
502,8882,0.008882,[0]
503,8861,0.008861,[1]
504,8732,0.008732,[0]
505,8524,0.008524,[1]
506,8351,0.008351,[0]
507,8176,0.008176,[1]
508,8090,0.00809,[0]
509,7960,0.00796,[1]
510,7872,0.007872,[0]
